oracle,generated_summary,generated_summary_no_content
"This Mexican restaurant is a great place to get a margarita with chips and salsa. Their margaritas are very well done, and the chips and salsa are also good. The service is also pretty good, friendly and efficient. The rest of the food, however, is average at best. This restaurant is recommended mostly for having some drinks with friends.","[ASPECTCHAIN] good,food | friendly,staff | great,atmosphere [SUMMARY] This is a good food and drink restaurant. The food is basic American-Mexican combinations (burrito, enchilada, tamale for example) with very quick service. The staff is friendly and attentive and the atmosphere is great. The margaritas are great and the margarita sauce is very flavorful. Overall, this is a highly recommended place."," This is a good food and drink restaurant. The food is basic American-Mexican combinations (burrito, enchilada, tamale for example) with very quick service. The staff is friendly and attentive and the atmosphere is great. The margaritas are great and the margarita sauce is very flavorful. Overall, this is a highly recommended place."
"Decent place for Mexican dishes featuring a patio for outdoor relaxation. Food quality is average, great atmosphere and location, friendly and courteous staff and quick service. Slightly recommended place.","[ASPECTCHAIN] good,food | friendly,staff | great,atmosphere [SUMMARY] This is a good food and drink restaurant. The food is basic American-Mexican combinations (burrito, enchilada, tamale for example) with very quick service. The staff is friendly and attentive and the atmosphere is great. The margaritas are great and the margarita sauce is very flavorful. Overall, this is a highly recommended place."," This is a good food and drink restaurant. The food is basic American-Mexican combinations (burrito, enchilada, tamale for example) with very quick service. The staff is friendly and attentive and the atmosphere is great. The margaritas are great and the margarita sauce is very flavorful. Overall, this is a highly recommended place."
"This is trendy, upscale Chinese restaurant that sometimes hits a home run of food, but often misses the target when it comes to service. It's in a great location, clean, comfortable, and attractive on the inside. Sometimes, items on the menu are on point and offer generous portions, but other things are overly complex or drenched in too much MSG. The prices are up, and the service is often unreliable as servers can sometimes have an attitude or completely fail at being attentive.","[ASPECTCHAIN] good,food | good,dish [SUMMARY] The food here is good, but the service is a bit lacking. The waiters are always in a rush, talk rudely and dictatively, make minimal eye contact and deliver (more like dump) dishes to the wrong table (especially during busy weekends).Also be careful to check your bill before you pay. Overall, the quality of the dim sum is good."," The food here is good, but the service is a bit lacking. The waiters are always in a rush, talk rudely and dictatively, make minimal eye contact and deliver (more like dump) dishes to the wrong table (especially during busy weekends).Also be careful to check your bill before you pay. Overall, the quality of the dim sum is good."
"A very elegant space. The food was quite expensive, everything was pretty good and really unique.  But the service delivery was very bad. The waiters were always in a hurry, talk dictatively and rudely, they also delivered dishes to wrong table.","[ASPECTCHAIN] good,food | good,dish [SUMMARY] The food here is good, but the service is a bit lacking. The waiters are always in a rush, talk rudely and dictatively, make minimal eye contact and deliver (more like dump) dishes to the wrong table (especially during busy weekends).Also be careful to check your bill before you pay. Overall, the quality of the dim sum is good."," The food here is good, but the service is a bit lacking. The waiters are always in a rush, talk rudely and dictatively, make minimal eye contact and deliver (more like dump) dishes to the wrong table (especially during busy weekends).Also be careful to check your bill before you pay. Overall, the quality of the dim sum is good."
"This dim sum restaurant has mixed results. The food itself is fine, however the service leaves something to be desired. Servers are known for being unfriendly and inattentive. The price is fine, but unless the service improves, the restaurant is not recommended.","[ASPECTCHAIN] good,food | good,dish [SUMMARY] The food here is good, but the service is a bit lacking. The waiters are always in a rush, talk rudely and dictatively, make minimal eye contact and deliver (more like dump) dishes to the wrong table (especially during busy weekends).Also be careful to check your bill before you pay. Overall, the quality of the dim sum is good."," The food here is good, but the service is a bit lacking. The waiters are always in a rush, talk rudely and dictatively, make minimal eye contact and deliver (more like dump) dishes to the wrong table (especially during busy weekends).Also be careful to check your bill before you pay. Overall, the quality of the dim sum is good."
"The overall dining experience at American Gypsy Cafe is excellent. The food is tasty, the portions are generous, and the prices are very reasonable. The sanitary conditions are perhaps questionable, as ants were spotted in the kitchen. Still, the quality of the service and food make this a great choice for Persian dining.","[ASPECTCHAIN] great,restaurant | large,portions | great,customer service [SUMMARY] This is a great Persian restaurant. The portions are huge and the food is very tasty. The customer service is great and the atmosphere is very clean. The prices are very good for the amount of food they offer.", This is a great Persian restaurant. The portions are huge and the food is very tasty. The customer service is great and the atmosphere is very clean. The prices are very good for the amount of food they offer.
"This restaurant is one of the better Mediterranean restaurants in town. The food is overall very well-liked, and the service is very good. The prices are also pretty good. Overall, this is a good restaurant that is well-recommended for Mediterranean/Persian food.","[ASPECTCHAIN] great,restaurant | large,portions | great,customer service [SUMMARY] This is a great Persian restaurant. The portions are huge and the food is very tasty. The customer service is great and the atmosphere is very clean. The prices are very good for the amount of food they offer.", This is a great Persian restaurant. The portions are huge and the food is very tasty. The customer service is great and the atmosphere is very clean. The prices are very good for the amount of food they offer.
"The food, service and all around dining experience is great. Such a nice place in an odd spot. They have only cans and no fountain soda, so there are no free refills. The place is clean and very nicely decorated. The portions are massive and the food is very delicious. The customer service is great and the price is good.","[ASPECTCHAIN] great,restaurant | large,portions | great,customer service [SUMMARY] This is a great Persian restaurant. The portions are huge and the food is very tasty. The customer service is great and the atmosphere is very clean. The prices are very good for the amount of food they offer.", This is a great Persian restaurant. The portions are huge and the food is very tasty. The customer service is great and the atmosphere is very clean. The prices are very good for the amount of food they offer.
"The food and service of this bar and restaurant are very hit-or-miss. Sometimes the service is fine, but often it is very slow, even when the restaurant is not busy. The food can be good, but can also be slow, cold, and stuffed with cheap fillers like shredded lettuce. This place is not very well recommended.","[ASPECTCHAIN] great,atmosphere | good,food [SUMMARY] The atmosphere of this place is great. It has a great feel to it. The food is good, but the meat on the enchiladas and tacos is a little dry. Overall, the food is very well above average."," The atmosphere of this place is great. It has a great feel to it. The food is good, but the meat on the enchiladas and tacos is a little dry. Overall, the food is very well above average."
"This restaurant is more of a miss than a hit. Customers have complaints of waiting for long periods of time to be recognized, and end up leaving out of frustration. Theres a lot of different menu options, but there seems to be problems with the temperature of the food. It has a nice atmosphere that people enjoy. Seating and taking orders promptly, then getting hot food and proper portions to their customers will make this a nice place to go to.","[ASPECTCHAIN] great,atmosphere | good,food [SUMMARY] The atmosphere of this place is great. It has a great feel to it. The food is good, but the meat on the enchiladas and tacos is a little dry. Overall, the food is very well above average."," The atmosphere of this place is great. It has a great feel to it. The food is good, but the meat on the enchiladas and tacos is a little dry. Overall, the food is very well above average."
"The service was pretty okay, but the food was awful and not actually very hot. The chicken taco is full of lettuce and stuffed with lettuce with hardly any meat. The burrito enchilada style was gross and the chips were cold. Super helpful with whatever questions and the bartender was great too. The prices were reasonable and the portions generous.","[ASPECTCHAIN] great,atmosphere | good,food [SUMMARY] The atmosphere of this place is great. It has a great feel to it. The food is good, but the meat on the enchiladas and tacos is a little dry. Overall, the food is very well above average."," The atmosphere of this place is great. It has a great feel to it. The food is good, but the meat on the enchiladas and tacos is a little dry. Overall, the food is very well above average."
"Eno Vino bar is renowned for excellent drinks and an impressive view of the Capital worth experiencing. Service quality is great and staff are dedicated. Drinks menu is comprehensive and dishes comprise tasty small plates. Overall, a recommended place.","[ASPECTCHAIN] great,view | small,atmosphere | excellent,small plates [SUMMARY] Eno Vino is a great view of the Capital area. The small plates are excellent and the atmosphere is excellent. The drink menu is very well-liked and the wine selection is very good. The atmosphere is very excellent and there is parking nearby.", Eno Vino is a great view of the Capital area. The small plates are excellent and the atmosphere is excellent. The drink menu is very well-liked and the wine selection is very good. The atmosphere is very excellent and there is parking nearby.
"The food is very good and the view it gives of downtown is impressive. It can be very noisy during peak service, usually on weekend nights. The smaller plate offerings can be better than full plates at other places. Location is highly regarded. The staff is friendly and customer service is at a high level.","[ASPECTCHAIN] great,view | small,atmosphere | excellent,small plates [SUMMARY] Eno Vino is a great view of the Capital area. The small plates are excellent and the atmosphere is excellent. The drink menu is very well-liked and the wine selection is very good. The atmosphere is very excellent and there is parking nearby.", Eno Vino is a great view of the Capital area. The small plates are excellent and the atmosphere is excellent. The drink menu is very well-liked and the wine selection is very good. The atmosphere is very excellent and there is parking nearby.
"Eno Vino's best feature is the amazing view of the city. The wine selection is also very strong. The rest of the food is good, as well. The customer service is friendly and accommodating. Overall, this is a highly recommended bar / restaurant.","[ASPECTCHAIN] great,view | small,atmosphere | excellent,small plates [SUMMARY] Eno Vino is a great view of the Capital area. The small plates are excellent and the atmosphere is excellent. The drink menu is very well-liked and the wine selection is very good. The atmosphere is very excellent and there is parking nearby.", Eno Vino is a great view of the Capital area. The small plates are excellent and the atmosphere is excellent. The drink menu is very well-liked and the wine selection is very good. The atmosphere is very excellent and there is parking nearby.
The menu is the shining star by far! The variety of brunch ideas and craft beers is endless. The wait staff are incredibly friendly and helpful. Sometimes has longer waits depending on the time of day. The cooks come up with really creative and delicious options. Overall pure indulgence for a sweet tooth with a great vibe!,"[ASPECTCHAIN] great,menu | friendly,staff | great,happy hour [SUMMARY] This is a great menu with a variety of sandwiches, wraps, and salads. The staff is friendly and attentive. Happy hour is great and the happy hour is especially great. The beer selection is decent as well."," This is a great menu with a variety of sandwiches, wraps, and salads. The staff is friendly and attentive. Happy hour is great and the happy hour is especially great. The beer selection is decent as well."
"Popular opinion is divided on loving or hating the food, often depending on the visit and the time of day - meaning whether they are super busy or not.  The menu has a lot of variety, yet children may find some dishes too spicy for their taste.  The staff is friendly and provide a great happy hour.","[ASPECTCHAIN] great,menu | friendly,staff | great,happy hour [SUMMARY] This is a great menu with a variety of sandwiches, wraps, and salads. The staff is friendly and attentive. Happy hour is great and the happy hour is especially great. The beer selection is decent as well."," This is a great menu with a variety of sandwiches, wraps, and salads. The staff is friendly and attentive. Happy hour is great and the happy hour is especially great. The beer selection is decent as well."
"This is a nice bar with a good draft list and a good selection of items on the menu. The burgers, sandwiches and appetizers are all worth a try. Tuesdays and Wednesdays have good specials but the happy hour and random specials are a good value too. Happy hours do get busy though! Staff is friendly and the place is family friendly as well. Overall this craft bar is worth a try.","[ASPECTCHAIN] great,menu | friendly,staff | great,happy hour [SUMMARY] This is a great menu with a variety of sandwiches, wraps, and salads. The staff is friendly and attentive. Happy hour is great and the happy hour is especially great. The beer selection is decent as well."," This is a great menu with a variety of sandwiches, wraps, and salads. The staff is friendly and attentive. Happy hour is great and the happy hour is especially great. The beer selection is decent as well."
"In the neighborhood, it's definitely the best burger. The staff can be either hit or miss, but the food is very good. There is an outside seating and also a good beer selection. The bar is pretty cool around a neat area in town. The Mac n Cheese variety are much and pretty good. The atmosphere is very relaxing.","[ASPECTCHAIN] great,local bar | great,food | good,beer selection | friendly,staff [SUMMARY] This is a great local bar and restaurant. The food is great and the service is friendly and attentive. The beer selection is good and the atmosphere is very friendly.", This is a great local bar and restaurant. The food is great and the service is friendly and attentive. The beer selection is good and the atmosphere is very friendly.
"This is a good, small, local bar and restaurant. The food is good and the drinks from the bar are excellent. The bar also has a wide selection of beers. The staff and service are great, and the atmosphere is relaxed and pleasant. Overall, this is a great place for brunch or a small meal.","[ASPECTCHAIN] great,local bar | great,food | good,beer selection | friendly,staff [SUMMARY] This is a great local bar and restaurant. The food is great and the service is friendly and attentive. The beer selection is good and the atmosphere is very friendly.", This is a great local bar and restaurant. The food is great and the service is friendly and attentive. The beer selection is good and the atmosphere is very friendly.
"This bar has a large menu full of a variety of different foods. Mac and cheese is one of their specialties.  They also have a large beer selection available.  Service is generally good and it has a fun atmosphere, and is a good place to hang out morning or night. Overall this place is highly recommended for food or drink.","[ASPECTCHAIN] great,local bar | great,food | good,beer selection | friendly,staff [SUMMARY] This is a great local bar and restaurant. The food is great and the service is friendly and attentive. The beer selection is good and the atmosphere is very friendly.", This is a great local bar and restaurant. The food is great and the service is friendly and attentive. The beer selection is good and the atmosphere is very friendly.
"Pussycat Gelato is popular for its well known, creamy and flavorful gelato which always exceed expectations. There are various exciting flavors and customers are allowed to try samples before choosing. Staff and management are remarkably pleasant and enthusiastic about their craft. Overall highly recommended.","[ASPECTCHAIN] best,gelato | unique,flavor | great,experience [SUMMARY] Pussycat Gelato is one of the best gelato shops in town. The flavor is unique and the experience is great. The quality of the gelato is top notch. It is extremely creamy and full of flavor. The experience is very enjoyable and the prices are very reasonable.", Pussycat Gelato is one of the best gelato shops in town. The flavor is unique and the experience is great. The quality of the gelato is top notch. It is extremely creamy and full of flavor. The experience is very enjoyable and the prices are very reasonable.
"The gelato is flavorful and very consistent. Tastings are free and generous, and the staff is always welcoming. The inside décor is cute and gives a good experience while there. The flavors are rich yet not overpowering. Some of the flavors offered a very unique with a good assortment of choices.","[ASPECTCHAIN] best,gelato | unique,flavor | great,experience [SUMMARY] Pussycat Gelato is one of the best gelato shops in town. The flavor is unique and the experience is great. The quality of the gelato is top notch. It is extremely creamy and full of flavor. The experience is very enjoyable and the prices are very reasonable.", Pussycat Gelato is one of the best gelato shops in town. The flavor is unique and the experience is great. The quality of the gelato is top notch. It is extremely creamy and full of flavor. The experience is very enjoyable and the prices are very reasonable.
"Pussycat Gelato is one of the best places to satisfy any sweet cravings. The owners are very generous, friendly, and they put a lot of passion into their craft. The unique flavors such as cheese cake, espresso toffee, and peanut butter with banana are fantastic and the prices are affordable.","[ASPECTCHAIN] best,gelato | unique,flavor | great,experience [SUMMARY] Pussycat Gelato is one of the best gelato shops in town. The flavor is unique and the experience is great. The quality of the gelato is top notch. It is extremely creamy and full of flavor. The experience is very enjoyable and the prices are very reasonable.", Pussycat Gelato is one of the best gelato shops in town. The flavor is unique and the experience is great. The quality of the gelato is top notch. It is extremely creamy and full of flavor. The experience is very enjoyable and the prices are very reasonable.
The theater is clean and the workers are always friendly. It gets a bit busy at times but is well taken care of. The parking lot has plenty of space and the theater seats are nice and cozy. Can be a bit pricey but there are some good deals on offer. Overall a quality theater experience.,"[ASPECTCHAIN] clean,theatre | good,parking [SUMMARY] The Harkins Theatres is clean and well taken care of. The parking is good and there is plenty of room for people to park. The popcorn is good but the price is a bit steep for the amount of popcorn. The staff is friendly and attentive.", The Harkins Theatres is clean and well taken care of. The parking is good and there is plenty of room for people to park. The popcorn is good but the price is a bit steep for the amount of popcorn. The staff is friendly and attentive.
"Harkins Theaters is a well-kept, clean, and friendly place to watch a movie.  There is hardly ever large crowds in the theaters, and the staff are always nice and friendly.  There are also numerous food options for any taste.","[ASPECTCHAIN] clean,theatre | good,parking [SUMMARY] The Harkins Theatres is clean and well taken care of. The parking is good and there is plenty of room for people to park. The popcorn is good but the price is a bit steep for the amount of popcorn. The staff is friendly and attentive.", The Harkins Theatres is clean and well taken care of. The parking is good and there is plenty of room for people to park. The popcorn is good but the price is a bit steep for the amount of popcorn. The staff is friendly and attentive.
"Harkins Theatres is a great place to go watch a movie. The quality of the theater is superb. It is always clean and very well taken care of. The customer service is top notch. Nice location, excellent perks and just all around a wonderful theater.","[ASPECTCHAIN] clean,theatre | good,parking [SUMMARY] The Harkins Theatres is clean and well taken care of. The parking is good and there is plenty of room for people to park. The popcorn is good but the price is a bit steep for the amount of popcorn. The staff is friendly and attentive.", The Harkins Theatres is clean and well taken care of. The parking is good and there is plenty of room for people to park. The popcorn is good but the price is a bit steep for the amount of popcorn. The staff is friendly and attentive.
"An absolute favorite is Siracha Honey Pork Shoulder. Such a unique food and experience. Super reasonable prices and superb flavor. This will turn out to be the latest hottest spot in east valley. Ambiance is so nice, workers are pleasant and a very cool hangout place. The service is great.","[ASPECTCHAIN] bad,service | good,food [SUMMARY] The food is good, but the service is bad. The service is also bad, and the food is not as good as other places in town. The quality of the food varies from place to place. Overall, this is not recommended."," The food is good, but the service is bad. The service is also bad, and the food is not as good as other places in town. The quality of the food varies from place to place. Overall, this is not recommended."
"The food at this Korean BBQ place is generally good, in particular the takamatsu is highly recommended.  The side dishes are not recommended. The service is very bad,  they are slow and unprofessional. Overall this place is probably not recommended.","[ASPECTCHAIN] bad,service | good,food [SUMMARY] The food is good, but the service is bad. The service is also bad, and the food is not as good as other places in town. The quality of the food varies from place to place. Overall, this is not recommended."," The food is good, but the service is bad. The service is also bad, and the food is not as good as other places in town. The quality of the food varies from place to place. Overall, this is not recommended."
"Average Korean BBQ spot. Service is generally poor, prices are fair, food is just decent and sometimes below average. Staff is nice and friendly but management and customer satisfaction practices are unsatisfactory. Overall not a recommended place.","[ASPECTCHAIN] bad,service | good,food [SUMMARY] The food is good, but the service is bad. The service is also bad, and the food is not as good as other places in town. The quality of the food varies from place to place. Overall, this is not recommended."," The food is good, but the service is bad. The service is also bad, and the food is not as good as other places in town. The quality of the food varies from place to place. Overall, this is not recommended."
"It is located in a small plaza and parking can be challenging. There is a neighborhood feel to it and the staffs are friendly. The food and drinks are great.  Great wine bar and new beer. The fries and steak are the most tender and the taste is amazing, but the price is not the cheapest.","[ASPECTCHAIN] great,beer and wine bar | friendly,staff | great,atmosphere [SUMMARY] This is a great beer bar with a great atmosphere. The staff is friendly and attentive, and the beer selection is extensive. The atmosphere is great and the atmosphere is very friendly. The food is very good and the patio is dog-friendly."," This is a great beer bar with a great atmosphere. The staff is friendly and attentive, and the beer selection is extensive. The atmosphere is great and the atmosphere is very friendly. The food is very good and the patio is dog-friendly."
"This industrial designed restaurant is known for offering a wide selection of great alcoholic drinks. There is a chill, neighborly ambiance, especially with the fact that there is a dog-friendly patio. While not cheap, the food taste like higher price food.","[ASPECTCHAIN] great,beer and wine bar | friendly,staff | great,atmosphere [SUMMARY] This is a great beer bar with a great atmosphere. The staff is friendly and attentive, and the beer selection is extensive. The atmosphere is great and the atmosphere is very friendly. The food is very good and the patio is dog-friendly."," This is a great beer bar with a great atmosphere. The staff is friendly and attentive, and the beer selection is extensive. The atmosphere is great and the atmosphere is very friendly. The food is very good and the patio is dog-friendly."
"This bar / restaurant has an impressive wine a beer selection. The beer selection in particular is wide-ranging and changes regularly. The food is also very good. The service is friendly. The decor has a pseudo-industrial stainless steel look, and the atmosphere is pretty laid back. This is recommended for those who want to try new beer or wine.","[ASPECTCHAIN] great,beer and wine bar | friendly,staff | great,atmosphere [SUMMARY] This is a great beer bar with a great atmosphere. The staff is friendly and attentive, and the beer selection is extensive. The atmosphere is great and the atmosphere is very friendly. The food is very good and the patio is dog-friendly."," This is a great beer bar with a great atmosphere. The staff is friendly and attentive, and the beer selection is extensive. The atmosphere is great and the atmosphere is very friendly. The food is very good and the patio is dog-friendly."
"This nail salon is one of the best in the area. The service is excellent. The staff is knowledgeable, friendly and accommodating. Their work is also excellent, with great attention to detail. Overall, this is a highly recommended nail salon.","[ASPECTCHAIN] great,service | friendly,staff | affordable,prices [SUMMARY] This is a great service for getting your nails done at an affordable price. The staff is friendly and very detail-oriented. The prices are very affordable and the quality of the work is very good.", This is a great service for getting your nails done at an affordable price. The staff is friendly and very detail-oriented. The prices are very affordable and the quality of the work is very good.
"This is such a wonderful nail salon all the way around. The customer service that this nail salon offers is amazing. Everyone is so polite and very attentive. The service is top notch. You can not ask for anything more. Overall, it is definitely recommended.","[ASPECTCHAIN] great,service | friendly,staff | affordable,prices [SUMMARY] This is a great service for getting your nails done at an affordable price. The staff is friendly and very detail-oriented. The prices are very affordable and the quality of the work is very good.", This is a great service for getting your nails done at an affordable price. The staff is friendly and very detail-oriented. The prices are very affordable and the quality of the work is very good.
It is very clean and nice inside. Everyone is so kind and friendly. They do an amazing job on both nails and pedis. They get it done with speed and precision with a price that is very much affordable. They have the best customer service.,"[ASPECTCHAIN] great,service | friendly,staff | affordable,prices [SUMMARY] This is a great service for getting your nails done at an affordable price. The staff is friendly and very detail-oriented. The prices are very affordable and the quality of the work is very good.", This is a great service for getting your nails done at an affordable price. The staff is friendly and very detail-oriented. The prices are very affordable and the quality of the work is very good.
The food is of a high quality but the service is horrible. The food takes to long to come out and there is evidence of a lack of cleaning of by the staff. Would recommend getting a health inspector to check over this location before attempting to eat at this location.,"[ASPECTCHAIN] rude,staff | clean,atmosphere [SUMMARY] This is a drive thru sandwich shop that caters to drive-thru customers. The staff is generally friendly and nice, but the atmosphere is dirty and the restrooms are disgusting. The sandwiches are very good, but they are a bit pricey. The atmosphere inside is clean and comfortable."," This is a drive thru sandwich shop that caters to drive-thru customers. The staff is generally friendly and nice, but the atmosphere is dirty and the restrooms are disgusting. The sandwiches are very good, but they are a bit pricey. The atmosphere inside is clean and comfortable."
"This place is amazing. Breakfast have been added along with a freestyle coke machine. The choices and things to try are much. The inside is very clean and comfortable. The saurkraut is very good and not too tangy. The staff was very nice, friendly and take pride in what they do.","[ASPECTCHAIN] rude,staff | clean,atmosphere [SUMMARY] This is a drive thru sandwich shop that caters to drive-thru customers. The staff is generally friendly and nice, but the atmosphere is dirty and the restrooms are disgusting. The sandwiches are very good, but they are a bit pricey. The atmosphere inside is clean and comfortable."," This is a drive thru sandwich shop that caters to drive-thru customers. The staff is generally friendly and nice, but the atmosphere is dirty and the restrooms are disgusting. The sandwiches are very good, but they are a bit pricey. The atmosphere inside is clean and comfortable."
"Wait times for food can sometimes be long. The inside cleanliness can be lacking at times. Employees can be unreliable and understaffed. The food is great when finally served after the wait times. Overall, is a good restaurant but quality of service can be rather risky depending on the day.","[ASPECTCHAIN] rude,staff | clean,atmosphere [SUMMARY] This is a drive thru sandwich shop that caters to drive-thru customers. The staff is generally friendly and nice, but the atmosphere is dirty and the restrooms are disgusting. The sandwiches are very good, but they are a bit pricey. The atmosphere inside is clean and comfortable."," This is a drive thru sandwich shop that caters to drive-thru customers. The staff is generally friendly and nice, but the atmosphere is dirty and the restrooms are disgusting. The sandwiches are very good, but they are a bit pricey. The atmosphere inside is clean and comfortable."
"A bar that has been a mainstay in the area for many years. Unfortunately, things have changed for the worse. The staff, barring a few servers, come across as rude. The manager has changed and so has the restaurant. There is now a smell and the food is hit or miss.","[ASPECTCHAIN] good,bar | good,food | great,experience [SUMMARY] This is a good bar. The food is good and the atmosphere is great. The service is good, but there are a few employees that are not so great. Like the bar tenders and waitresses. Overall, this is a highly recommended bar."," This is a good bar. The food is good and the atmosphere is great. The service is good, but there are a few employees that are not so great. Like the bar tenders and waitresses. Overall, this is a highly recommended bar."
Service is decent but at times seems selective and the turnover rate for workers is high. The environment is engaging with a particular smell and TV's around to watch sports games. Food is decent yet non-noteworthy with plenty of worthwhile affordable deals.,"[ASPECTCHAIN] good,bar | good,food | great,experience [SUMMARY] This is a good bar. The food is good and the atmosphere is great. The service is good, but there are a few employees that are not so great. Like the bar tenders and waitresses. Overall, this is a highly recommended bar."," This is a good bar. The food is good and the atmosphere is great. The service is good, but there are a few employees that are not so great. Like the bar tenders and waitresses. Overall, this is a highly recommended bar."
